epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6822,1.6674,0.0681,0.0633,1.000000e-04
2,1.6285,1.6435,0.1578,0.1185,9.997557e-05
3,1.6011,1.6261,0.2301,0.1767,9.990232e-05
4,1.5819,1.6089,0.2701,0.2078,9.978032e-05
5,1.5638,1.5905,0.2913,0.2249,9.960968e-05
6,1.5440,1.5750,0.3191,0.2149,9.939057e-05
7,1.5270,1.5574,0.3292,0.2370,9.912322e-05
8,1.5077,1.5417,0.3469,0.2852,9.880788e-05
9,1.4883,1.5259,0.3578,0.3062,9.844487e-05
10,1.4730,1.5107,0.3595,0.2995,9.803454e-05
11,1.4534,1.4972,0.3685,0.2735,9.757730e-05
12,1.4335,1.4787,0.3806,0.2671,9.707360e-05
13,1.4140,1.4632,0.3873,0.3529,9.652394e-05
14,1.3969,1.4491,0.3843,0.3295,9.592885e-05
15,1.3759,1.4314,0.3931,0.3622,9.528894e-05
16,1.3530,1.4188,0.4010,0.3336,9.460482e-05
17,1.3318,1.3972,0.4054,0.3479,9.387718e-05
18,1.3127,1.3795,0.4055,0.2913,9.310673e-05
19,1.2962,1.3616,0.4043,0.3711,9.229423e-05
20,1.2707,1.3523,0.4124,0.3576,9.144049e-05
21,1.2499,1.3335,0.4074,0.3248,9.054634e-05
22,1.2299,1.3216,0.3949,0.3044,8.961267e-05
23,1.2082,1.2955,0.3843,0.2726,8.864041e-05
24,1.1840,1.2782,0.3694,0.2389,8.763050e-05
25,1.1529,1.2287,0.3588,0.2737,8.658395e-05
26,1.1006,1.1762,0.3794,0.3067,8.550179e-05
27,1.0457,1.1338,0.4238,0.3691,8.438508e-05
28,0.9944,1.0797,0.4550,0.4053,8.323494e-05
29,0.9501,1.0471,0.4711,0.4021,8.205249e-05
30,0.9055,1.0106,0.4932,0.4259,8.083890e-05
31,0.8742,0.9831,0.4976,0.4091,7.959537e-05
32,0.8425,0.9558,0.5048,0.4637,7.832313e-05
33,0.8098,0.9262,0.5125,0.4545,7.702343e-05
34,0.7822,0.9006,0.5203,0.4257,7.569755e-05
35,0.7602,0.8825,0.5265,0.4692,7.434681e-05
36,0.7342,0.8661,0.5288,0.4769,7.297253e-05
37,0.7077,0.8381,0.5373,0.4871,7.157607e-05
38,0.6858,0.8347,0.5477,0.4875,7.015882e-05
39,0.6663,0.8116,0.5534,0.4309,6.872217e-05
40,0.6479,0.7717,0.5532,0.4811,6.726753e-05
41,0.6279,0.7669,0.5616,0.5079,6.579634e-05
42,0.6086,0.7461,0.5696,0.5024,6.431006e-05
43,0.5916,0.7188,0.5763,0.5161,6.281015e-05
44,0.5734,0.6977,0.5819,0.4990,6.129809e-05
45,0.5608,0.6869,0.5854,0.5223,5.977538e-05
46,0.5427,0.6620,0.5954,0.5152,5.824351e-05
47,0.5310,0.6362,0.6003,0.5403,5.670400e-05
48,0.5119,0.6164,0.6113,0.5437,5.515836e-05
49,0.4989,0.6021,0.6179,0.5288,5.360813e-05
